year,global_avg_temp,global_10_year_MA,global_15_year_MA,global_20_year_MA,atlanta_avg_temp,atlanta_10_year_MA,atlanta_15_year_MA,atlanta_20_year_MA
1750,8.72,,,,15.01,,,
1751,7.98,,,,15.73,,,
1752,5.78,,,,9.22,,,
1753,8.39,,,,14.42,,,
1754,8.47,,,,14.53,,,
1755,8.36,,,,12.28,,,
1756,8.85,,,,14.63,,,
1757,9.02,,,,14.11,,,
1758,6.74,,,,12.96,,,
1759,7.99,8.03,,,13.97,13.69,,
1760,7.19,7.88,,,12.59,13.44,,
1761,8.77,7.96,,,14.95,13.37,,
1762,8.61,8.24,,,14.38,13.88,,
1763,7.5,8.15,,,12.49,13.69,,
1764,8.4,8.14,8.05,,14.42,13.68,13.71,
1765,8.25,8.13,8.02,,14.09,13.86,13.65,
1766,8.41,8.09,8.05,,14.86,13.88,13.59,
1767,8.22,8.01,8.21,,13.72,13.84,13.89,
1768,6.78,8.01,8.1,,13.26,13.87,13.82,
1769,7.69,7.98,8.05,8.01,14.15,13.89,13.79,13.79
1770,7.69,8.03,8.01,7.95,14,14.03,13.91,13.74
1771,7.85,7.94,7.94,7.95,14.89,14.03,13.92,13.7
1772,8.19,7.9,7.89,8.07,14.65,14.05,13.96,13.97
1773,8.22,7.97,7.98,8.06,14.78,14.28,14.08,13.99
1774,8.77,8.01,8.04,8.08,14.39,14.28,14.11,13.98
1775,9.18,8.1,8.17,8.12,15.26,14.4,14.29,14.13
1776,8.3,8.09,8.14,8.09,14.12,14.32,14.23,14.1
1777,8.26,8.09,8.11,8.05,13.97,14.35,14.2,14.1
1778,8.54,8.27,8.18,8.14,11.75,14.2,14.15,14.03
1779,8.98,8.4,8.22,8.19,7.59,13.54,13.7,13.72
1780,9.43,8.57,8.3,8.3,,13.49,13.67,13.77
1781,8.1,8.6,8.28,8.27,14.54,13.45,13.65,13.75
1782,7.9,8.57,8.26,8.23,14.07,13.39,13.67,13.74
1783,7.68,8.51,8.32,8.24,13.82,13.28,13.71,13.81
1784,7.86,8.42,8.33,8.22,13.79,13.21,13.69,13.77
1785,7.36,8.24,8.31,8.17,13.58,13.03,13.66,13.75
1786,8.26,8.24,8.34,8.16,14.13,13.03,13.6,13.71
1787,8.03,8.21,8.32,8.15,14.16,13.05,13.57,13.73
1788,8.45,8.21,8.34,8.24,14.65,13.37,13.56,13.8
1789,8.33,8.14,8.31,8.27,14.4,14.13,13.56,13.82
1790,7.98,8,8.23,8.28,14.3,14.14,13.49,13.83
1791,8.23,8.01,8.23,8.3,14.51,14.14,13.52,13.81
1792,8.09,8.03,8.21,8.3,14.01,14.14,13.52,13.78
1793,8.23,8.08,8.19,8.3,14.55,14.21,13.72,13.77
1794,8.53,8.15,8.16,8.29,14.66,14.3,14.23,13.78
1795,8.35,8.25,8.09,8.24,14.4,14.38,14.24,13.74
1796,8.27,8.25,8.1,8.24,14.19,14.38,14.21,13.74
1797,8.51,8.3,8.14,8.26,14.15,14.38,14.22,13.75
1798,8.67,8.32,8.21,8.26,14.88,14.41,14.29,13.91
1799,8.51,8.34,8.25,8.24,14.56,14.42,14.34,14.28
1800,8.48,8.39,8.33,8.19,14.43,14.43,14.4,14.29
1801,8.59,8.42,8.35,8.22,14.78,14.46,14.44,14.3
1802,8.58,8.47,8.39,8.25,15,14.56,14.5,14.35
1803,8.5,8.5,8.39,8.29,14.87,14.59,14.51,14.4
1804,8.84,8.53,8.42,8.34,14.82,14.61,14.54,14.45
1805,8.56,8.55,8.46,8.4,14.99,14.67,14.59,14.52
1806,8.43,8.57,8.48,8.41,14.49,14.7,14.59,14.54
1807,8.28,8.54,8.49,8.42,14.27,14.71,14.6,14.55
1808,7.63,8.44,8.45,8.38,14.21,14.64,14.58,14.52
